timestamp,close,high,low,trade_count,open,volume,vwap
2024-10-21 04:00:00+00:00,143.71,143.71,138.0,1782070,138.13,264554514,141.494221
2024-10-22 04:00:00+00:00,143.59,144.42,141.78,1502933,142.91,226311589,143.318116
2024-10-23 04:00:00+00:00,139.56,142.43,137.46,1916981,142.03,285930038,139.661129
2024-10-24 04:00:00+00:00,140.41,141.35,138.46,1226518,140.82,172354888,139.95535
2024-10-25 04:00:00+00:00,141.54,144.13,140.8,1410935,140.93,205122109,142.594494
2024-10-28 04:00:00+00:00,140.52,143.14,140.05,1258121,143.0,173586745,141.135508
2024-10-29 04:00:00+00:00,141.25,142.2598,138.9,1163074,140.285,157593634,141.011574
2024-10-30 04:00:00+00:00,139.335,140.33,136.81,1306261,139.54,179418082,139.300574
2024-10-31 04:00:00+00:00,132.76,137.61,132.1106,1998937,137.6,270039641,133.663905
2024-11-01 04:00:00+00:00,135.4,137.31,134.57,1423974,134.7,207127838,135.95656
2024-11-04 05:00:00+00:00,136.05,138.96,135.57,1369192,137.21,187528173,137.404343
2024-11-05 05:00:00+00:00,139.91,140.3701,137.33,1158212,137.45,160537373,139.354042
2024-11-06 05:00:00+00:00,145.61,146.49,141.96,1849169,142.96,242043945,144.747946
2024-11-07 05:00:00+00:00,148.88,148.93,146.17,1460795,146.39,207323303,148.061939
2024-11-08 05:00:00+00:00,147.63,149.77,146.26,1367279,148.77,175665830,147.661376
2024-11-11 05:00:00+00:00,145.26,148.85,143.57,1521436,148.68,182325620,145.468234
2024-11-12 05:00:00+00:00,148.29,149.65,146.01,1464181,146.78,198634738,148.068907
2024-11-13 05:00:00+00:00,146.27,149.33,145.9,1330924,149.07,191903267,147.158418
2024-11-14 05:00:00+00:00,146.76,149.0,145.55,1304856,147.64,194463301,147.392811
2024-11-15 05:00:00+00:00,141.98,145.24,140.08,1862710,144.87,250132869,142.299601
2024-11-18 05:00:00+00:00,140.15,141.55,137.15,1763358,139.5,221930607,139.682541
2024-11-19 05:00:00+00:00,147.01,147.13,140.99,1573492,141.32,227850812,144.716328
2024-11-20 05:00:00+00:00,145.89,147.56,142.73,2373948,147.41,306419482,144.953259
2024-11-21 05:00:00+00:00,146.67,152.89,140.7,2913666,149.35,400946570,145.954084
2024-11-22 05:00:00+00:00,141.95,147.16,141.1,1870215,145.93,236406154,142.85593
2024-11-25 05:00:00+00:00,136.02,142.05,135.82,2405587,141.99,344941875,137.274672
2024-11-26 05:00:00+00:00,136.92,139.3,135.67,1421364,137.7,190287654,137.01494
2024-11-27 05:00:00+00:00,135.34,137.22,131.8,1739345,135.01,226370912,133.694807
2024-11-29 05:00:00+00:00,138.25,139.35,136.05,905022,136.78,141863156,138.30465
2024-12-02 05:00:00+00:00,138.63,140.45,137.825,1190903,138.83,171682777,138.982434
2024-12-03 05:00:00+00:00,140.26,140.54,137.95,1062102,138.26,164413965,139.406583
2024-12-04 05:00:00+00:00,145.14,145.79,140.29,1466018,141.995,231224295,143.702913
2024-12-05 05:00:00+00:00,145.06,146.54,143.95,1149174,145.11,172621180,145.235433
2024-12-06 05:00:00+00:00,142.44,145.7,141.31,1299248,144.6,188505573,143.038593
2024-12-09 05:00:00+00:00,138.81,139.95,137.13,1525738,138.97,189308625,138.671743
2024-12-10 05:00:00+00:00,135.07,141.82,133.79,1646616,139.01,210020888,137.066247
2024-12-11 05:00:00+00:00,139.31,140.17,135.21,1305193,137.36,184905192,138.213275
2024-12-12 05:00:00+00:00,137.34,138.44,135.8,1106707,137.08,159211393,137.174009
2024-12-13 05:00:00+00:00,134.25,139.6,132.54,1756976,138.94,231514881,134.935543
2024-12-16 05:00:00+00:00,132.0,134.4,130.42,1985330,134.18,237951130,131.732137
2024-12-17 05:00:00+00:00,130.39,131.59,126.86,2135435,129.09,259410263,129.244779
2024-12-18 05:00:00+00:00,128.91,136.7,128.28,2090822,133.86,277444533,133.312292
2024-12-19 05:00:00+00:00,130.68,134.03,129.55,1598151,131.76,209719210,131.515451
2024-12-20 05:00:00+00:00,134.7,135.28,128.22,1568948,129.81,306528553,133.17864
2024-12-23 05:00:00+00:00,139.67,139.79,135.1201,1304145,136.28,176053506,138.066703
2024-12-24 05:00:00+00:00,140.22,141.9,138.65,835243,140.0,105156989,140.747761
2024-12-26 05:00:00+00:00,139.93,140.85,137.73,941316,139.7,116519090,139.599297
2024-12-27 05:00:00+00:00,137.01,139.02,134.71,1342999,138.55,170582603,136.404689
2024-12-30 05:00:00+00:00,137.49,140.27,134.02,1347922,134.83,167734700,138.052226
2024-12-31 05:00:00+00:00,134.29,138.07,133.83,1200146,138.03,155659211,135.449823
2025-01-02 05:00:00+00:00,138.31,138.88,134.63,1567000,136.0,198247166,137.181563
2025-01-03 05:00:00+00:00,144.47,144.9,139.73,1745662,140.01,229322478,143.567988
2025-01-06 05:00:00+00:00,149.43,152.156,147.8201,2139591,148.59,265377359,150.355811
2025-01-07 05:00:00+00:00,140.14,153.13,140.01,3297980,153.03,351782174,143.543604
2025-01-08 05:00:00+00:00,140.11,143.95,137.56,1983811,142.58,227349948,140.669549
2025-01-10 05:00:00+00:00,135.91,139.92,134.22,1832777,137.45,207602514,135.827555
2025-01-13 05:00:00+00:00,133.23,133.49,129.51,1886121,129.99,204808914,131.970517
2025-01-14 05:00:00+00:00,131.76,136.38,130.05,1712995,136.05,195590485,132.178327
2025-01-15 05:00:00+00:00,136.24,136.45,131.29,1417208,133.65,185217338,134.839393
2025-01-16 05:00:00+00:00,133.57,138.75,133.49,1535426,138.64,209235583,135.636739
2025-01-17 05:00:00+00:00,137.71,138.5,135.4649,1181517,136.69,201188760,137.429718
2025-01-21 05:00:00+00:00,140.83,141.83,137.09,1541532,139.16,197748985,140.046734
2025-01-22 05:00:00+00:00,147.07,147.79,143.67,1837719,144.66,237651395,146.610574
2025-01-23 05:00:00+00:00,147.22,147.23,143.72,1198401,145.05,155915549,145.862847
2025-01-24 05:00:00+00:00,142.62,148.97,141.88,1737315,148.37,234657635,144.39028
2025-01-27 05:00:00+00:00,118.42,128.4,116.7,7844400,124.8,818830895,120.801569
